Date,Open,High,Low,Close,Adj Close,Volume
2014-12-10,19.636362,19.674931,19.173553,19.421488,14.614840,15974639
2014-12-11,19.432507,19.696968,19.168043,19.641872,14.780682,17733045
2014-12-12,19.415977,19.608814,18.589531,18.595041,13.992942,22497418
2014-12-15,18.787878,18.870523,17.906336,18.198347,13.694414,32909910
2014-12-16,17.889807,18.446280,17.630854,18.110191,13.628082,35125364
2014-12-17,18.192837,19.415977,18.192837,19.024794,14.316319,38616764
2014-12-18,19.146006,19.520660,18.694214,18.881542,14.208527,19185043
2014-12-19,19.118458,19.278236,18.831955,19.173553,14.428264,31124937
2014-12-22,19.283747,19.311295,18.749311,19.305784,14.527775,13383149
2014-12-23,19.338842,19.393938,19.008265,19.393938,14.594111,12791294
2014-12-26,19.272726,19.487602,19.090908,19.118458,14.386806,7257194
2014-12-29,19.035812,19.338842,19.019283,19.173553,14.428264,15382620
2014-12-30,19.278236,19.338842,19.030302,19.063360,14.345344,14430074
2015-01-02,18.870523,19.179064,18.468319,18.639118,14.032187,20756703
2015-01-05,18.347107,18.925619,18.203856,18.732782,14.102694,23532382
2015-01-06,18.732782,19.035812,18.528925,19.035812,14.330827,27725577
2015-01-07,19.283747,20.022038,19.283747,19.724518,14.849312,23601897
2015-01-08,19.834709,20.110191,19.404959,20.033056,15.081594,21403024
2015-01-09,19.862259,19.917355,19.101929,19.157024,14.422085,17063904
2015-01-12,19.063360,19.245178,18.666666,18.694214,14.073663,20358673
2015-01-13,18.848484,19.168043,18.672176,18.672176,14.057066,25571172
2015-01-14,18.512396,19.079889,18.457300,18.798899,14.152469,22520338
2015-01-15,18.842976,19.371901,18.628099,18.633608,14.028034,24538074
2015-01-16,18.683195,19.019283,18.512396,18.920111,14.243725,25707841
2015-01-19,18.793388,19.024794,18.154268,18.236914,13.729387,15345825
2015-01-20,18.539944,18.606060,18.159779,18.297520,13.775012,16755354
2015-01-21,18.567493,18.969696,18.275482,18.837465,14.181510,26013487
2015-01-22,19.057852,19.283747,18.826447,18.931129,14.252014,24973311
2015-01-23,19.057852,19.283747,18.573002,18.749311,14.115136,20658511
2015-01-26,18.661158,19.008265,18.517906,18.969696,14.281053,17878113
2015-01-27,18.898071,19.046831,18.490358,18.898071,14.227128,23152140
2015-01-28,18.677685,19.074381,18.506887,18.512396,13.936781,20946552
2015-01-29,18.677685,18.754820,18.077133,18.385674,13.841377,21490870
2015-01-30,18.027548,18.225895,17.889807,18.126720,13.646434,33786406
2015-02-02,18.303030,18.391184,17.988979,18.358126,13.826945,21219346
2015-02-03,19.002754,19.101929,18.776859,18.870523,14.212872,32962759
2015-02-04,18.853994,19.680441,18.732782,19.564737,14.735744,45070806
2015-02-05,19.476583,19.713497,19.283747,19.399448,14.611256,34889563
2015-02-06,19.283747,19.454544,19.063360,19.355371,14.578051,31219089
2015-02-09,19.179064,19.537189,19.179064,19.476583,14.669347,22649748
2015-02-10,19.504131,19.641872,19.228649,19.228649,14.482611,22311976
2015-02-11,18.914600,19.008265,18.242424,18.446280,14.237781,22426321
2015-02-12,18.644629,19.024794,18.567493,18.931129,14.612006,21133678
2015-02-13,19.052341,19.570248,18.980717,19.559229,15.096817,22696030
2015-02-18,19.950413,20.027548,19.564737,19.674931,15.186122,21073239
2015-02-19,19.597795,19.873278,19.476583,19.669420,15.181860,14219799
2015-02-20,19.834709,19.845730,19.432507,19.774103,15.262664,11142829
2015-02-23,19.471073,20.104683,19.471073,19.966942,15.411509,17181153
2015-02-24,20.099173,20.176308,19.724518,20.176308,15.573106,18547666
2015-02-25,19.917355,20.225895,19.807161,20.225895,15.611383,15308073
2015-02-26,20.247932,20.325068,19.933884,20.325068,15.687927,13765686
2015-02-27,20.330578,20.699724,19.983471,20.110191,15.522073,34136520
2015-03-02,20.055096,20.236914,19.840219,20.011019,15.451876,21189580
2015-03-03,19.994490,20.165289,19.829201,20.165289,15.571003,14909317
2015-03-04,19.906336,20.077133,19.796143,19.988979,15.434849,29891598
2015-03-05,19.955921,20.110191,19.625343,19.812672,15.298722,38369644
2015-03-06,19.680441,19.922865,19.096418,19.283747,14.890298,32658384
2015-03-09,18.842976,19.129477,18.435261,18.782370,14.503150,36374415
2015-03-10,18.484848,18.760330,18.044077,18.044077,13.933074,55093054
2015-03-11,18.198347,18.683195,18.181818,18.655647,14.405295,46773457
2015-03-12,18.842976,18.947659,18.617079,18.732782,14.464862,28754319
2015-03-13,18.303030,18.677685,18.253443,18.639118,14.392545,34837473
2015-03-16,18.760330,18.881542,18.413223,18.639118,14.392545,20000574
2015-03-17,18.727272,19.173553,18.600550,19.173553,14.805217,32445303
2015-03-18,19.085400,19.834709,18.925619,19.752066,15.251918,31379353
2015-03-19,19.696968,19.741047,19.327824,19.630854,15.158319,19084725
2015-03-20,19.834709,20.088154,19.752066,19.796143,15.285954,30542094
2015-03-23,19.774103,19.889807,19.371901,19.669420,15.188103,18248010
2015-03-24,19.669420,19.884296,19.333332,19.548208,15.094507,21081769
2015-03-25,19.669420,19.983471,19.311295,19.531679,15.081741,30202507
2015-03-26,19.327824,19.432507,18.909090,18.980717,14.656307,23475573
2015-03-27,18.991735,18.991735,18.512396,18.650137,14.401041,26505715
2015-03-30,18.732782,19.278236,18.694214,19.278236,14.886043,21072876
2015-03-31,19.090908,19.608814,18.997246,19.454544,15.022185,24226801
2015-04-01,19.724518,20.247932,19.658401,20.110191,15.535055,27909436
2015-04-02,20.082644,20.578512,20.082644,20.303030,15.684017,22893139
2015-04-06,20.589531,20.644629,20.308538,20.550964,15.875541,17844172
2015-04-07,20.440771,20.661158,20.336088,20.561983,15.884053,20523294
2015-04-08,20.743801,20.914600,20.595041,20.661158,15.960675,24495603
2015-04-09,20.220385,20.352617,19.944902,20.247932,15.641470,37041064
2015-04-10,20.110191,20.495867,20.000000,20.396694,15.756379,17392963
2015-04-13,20.330578,20.534435,20.115702,20.236914,15.632945,17734365
2015-04-14,20.341597,20.402203,19.950413,20.236914,15.632945,17586624
2015-04-15,20.424242,20.567493,20.170797,20.528925,15.858523,18744594
2015-04-16,20.429752,20.473829,20.258953,20.374655,15.739347,18964753
2015-04-17,20.176308,20.275482,20.099173,20.115702,15.539314,20288251
2015-04-20,20.209366,20.258953,19.702478,19.779613,15.279689,31722388
2015-04-22,19.834709,20.468319,19.779613,20.330578,15.705307,24744984
2015-04-23,20.126720,20.909090,19.983471,20.881542,16.130919,25093101
2015-04-24,20.887053,21.730026,20.859505,21.559229,16.654438,43441117
2015-04-27,21.476583,21.763084,21.063360,21.157024,16.343729,20778483
2015-04-28,21.278236,21.438017,20.942148,21.371901,16.509720,23178639
2015-04-29,21.173553,21.355371,20.953169,21.079889,16.284147,17612578
2015-04-30,20.991735,21.316805,20.881542,21.228649,16.399061,20393884
2015-05-04,21.349861,21.713497,21.327824,21.460054,16.584274,19303977
2015-05-05,21.322313,21.619835,20.991735,21.250689,16.422470,26678140
2015-05-06,21.278236,21.438017,20.495867,20.716253,16.009468,32575801
2015-05-07,20.556473,20.798899,20.440771,20.798899,16.073330,22392562
2015-05-08,21.096418,21.101929,20.550964,21.074381,16.286221,26065033
2015-05-11,21.140495,21.212120,20.815426,20.975206,16.209595,13475286
2015-05-12,20.771349,21.068871,20.727272,20.881542,16.137201,22720533
2015-05-13,20.787878,20.991735,20.666666,20.738293,16.026506,20242150
2015-05-14,20.754820,21.019283,20.633608,20.942148,16.184038,22461351
2015-05-15,20.881542,21.344353,20.881542,21.333332,16.486347,14620188
2015-05-18,21.366390,21.366390,20.622589,20.765841,16.047792,42820932
2015-05-19,20.716253,20.958677,20.154268,20.473829,15.822120,20918238
2015-05-20,20.264462,20.347107,19.966942,20.110191,15.541105,35903241
2015-05-21,19.900826,19.933884,19.614325,19.867767,15.353762,33458436
2015-05-22,19.724518,19.724518,19.426996,19.449036,15.030156,43812829
2015-05-25,19.504131,19.652891,19.305784,19.520660,15.085520,14110899
2015-05-26,19.404959,19.449036,19.146006,19.234159,14.864104,22786962
2015-05-27,19.382919,19.680441,19.079889,19.625343,15.166410,26706999
